DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Year,Latitude,Longitude
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,23,13998,13286.82609,12787.34783,2012,42.2774915,-71.065494
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,39,18674.87179,16214.71795,15624.97436,2012,42.334447,-71.0740118
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,14,23797.35714,14411.64286,13754.5,2012,42.3489582,-71.1476809
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,29,62975.89655,14519.03448,14024.27586,2012,42.3631542,-71.0688334
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,21,21036.61905,14393.14286,12995.2381,2012,42.3396481,-71.1050255
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,12,24965.66667,9849.333333,9179,2012,42.3306338,-71.2464373
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,37,57538.2973,13653.27027,11457.40541,2012,42.3362036,-71.1067408
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,15,25481.13333,10682.66667,9839.733333,2012,42.3016411,-71.1287817
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,51,12946.09804,9673.470588,8932.058824,2012,42.373977,-71.1334327
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,54,15754.61111,12702.03704,11999.59259,2012,42.3748024,-71.1042804
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,27,11016.11111,11761.07407,11036.77778,2012,42.2774915,-71.065494
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,78,12634.69231,14626.0641,13878.23077,2012,42.334447,-71.0740118
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,35,14314.97143,12529.77143,11874,2012,42.3489582,-71.1476809
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,111,46518.96396,12263.8018,11476.09009,2012,42.3631542,-71.0688334
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,42,14407.14286,12169.90476,11044.61905,2012,42.3396481,-71.1050255
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,57,22182.84211,8779.017544,7951.719298,2012,42.3306338,-71.2464373
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,70,31689.71429,11399.75714,10342.5,2012,42.3362036,-71.1067408
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,46,15302.97826,12739.73913,11836.84783,2012,42.349512,-71.063308
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,37,28752.05405,10611.2973,9677.891892,2012,42.3016411,-71.1287817
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,48,11523.45833,8364.5625,7646.5625,2012,42.373977,-71.1334327
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,91,11990.8022,10496.73626,9809.956044,2012,42.3748024,-71.1042804
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,64,8167.484375,9757.09375,8975.875,2012,42.2774915,-71.065494
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,102,9503.764706,12115.63725,11438.93137,2012,42.334447,-71.0740118
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,33,9178.878788,10296.72727,9608.515152,2012,42.3489582,-71.1476809
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,137,31564.09489,9941.817518,9155.481752,2012,42.3631542,-71.0688334
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,52,11699.59615,9908.692308,9193.576923,2012,42.3396481,-71.1050255
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,53,18863.22642,7383.018868,6515.754717,2012,42.3306338,-71.2464373
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,57,28636.21053,9674.157895,8818.754386,2012,42.3362036,-71.1067408
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,32,11068.84375,9916.90625,9340.40625,2012,42.349512,-71.063308
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,41,22660.92683,7894,7079.268293,2012,42.3016411,-71.1287817
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,25,10432.32,5944,4975.84,2012,42.373977,-71.1334327
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,81,10865.95062,8202.024691,7178.518519,2012,42.3748024,-71.1042804
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,40,6014.425,7372.4,6511.275,2012,42.2774915,-71.065494
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,44,7152.477273,8906.613636,8149.068182,2012,42.334447,-71.0740118
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,25,6612.08,7623.04,6703.04,2012,42.3489582,-71.1476809
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,74,22789.47297,7405.527027,6356.635135,2012,42.3631542,-71.0688334
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,22,10118.22727,7928.227273,6354.5,2012,42.3396481,-71.1050255
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,20,14063.4,5220.7,4421.1,2012,42.3306338,-71.2464373
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,35,22041.97143,7433.114286,6407.028571,2012,42.3362036,-71.1067408
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,24,9647.583333,8555.833333,7419.333333,2012,42.349512,-71.063308
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,49,14281.67347,5917.755102,5025.183673,2012,42.3016411,-71.1287817
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,50,18510.54,12896.34,11725.1,2012,42.373977,-71.1334327
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,32,23506.96875,16572.34375,15853.78125,2012,42.3748024,-71.1042804
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,35,18460.48571,18428.74286,17799.11429,2012,42.334447,-71.0740118
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,33,19746.0303,16052.75758,15381.33333,2012,42.3489582,-71.1476809
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,94,54090.23404,15848.38298,14414.55319,2012,42.3631542,-71.0688334
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,104,21794.09615,16248.14423,13826.89423,2012,42.3396481,-71.1050255
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,33,28013.21212,10923.39394,10157.81818,2012,42.3306338,-71.2464373
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,52,62348.40385,17433.65385,15125.76923,2012,42.3362036,-71.1067408
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,49,30372.69388,17528.93878,16192.40816,2012,42.349512,-71.063308
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,26,32644.84615,11611.46154,10993.61538,2012,42.3016411,-71.1287817
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,117,11382.09402,8502.42735,7538.487179,2012,42.373977,-71.1334327
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,90,14935.26667,11160.03333,10470.43333,2012,42.3748024,-71.1042804
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,35,8255.828571,9977.485714,9065.342857,2012,42.2774915,-71.065494
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,69,12459.37681,12599.98551,11658.34783,2012,42.334447,-71.0740118
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,42,9318.214286,10426.92857,9586.071429,2012,42.3489582,-71.1476809
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,283,31490.69611,10853.21555,9491.420495,2012,42.3631542,-71.0688334
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,139,14317.97122,10787.79137,9926.748201,2012,42.3396481,-71.1050255
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,96,16924.61458,7642.3125,6422.71875,2012,42.3306338,-71.2464373
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,163,30723.18405,10244.16564,9105.141104,2012,42.3362036,-71.1067408
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,98,14228.58163,11308.2449,10112.20408,2012,42.349512,-71.063308
194 - SIMPLE PNEUMONIA & PLEURISY W CC,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,109,18854.51376,8170.53211,7242.733945,2012,42.3016411,-71.1287817
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,61,9729.229508,6335.622951,5102.672131,2012,42.373977,-71.1334327
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,29,11177.37931,7824.172414,6835.896552,2012,42.3748024,-71.1042804
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,14,8072.357143,8998.142857,7933.285714,2012,42.334447,-71.0740118
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,17,7736.882353,7767.235294,6822.294118,2012,42.3489582,-71.1476809
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,70,23685.15714,7362.614286,6327.7,2012,42.3631542,-71.0688334
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,35,9968.657143,7505.857143,6585.171429,2012,42.3396481,-71.1050255
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,22,10993.45455,5437.727273,4183.818182,2012,42.3306338,-71.2464373
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,30,19419.86667,7208.933333,6325.866667,2012,42.3362036,-71.1067408
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,15,8301.933333,7202.066667,6206.6,2012,42.349512,-71.063308
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,42,15492.83333,6015.97619,4983.880952,2012,42.3016411,-71.1287817
202 - BRONCHITIS & ASTHMA W CC/MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,14,10738.71429,7520.642857,6782.642857,2012,42.373977,-71.1334327
202 - BRONCHITIS & ASTHMA W CC/MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,13,10668.53846,9528.615385,8472.615385,2012,42.3748024,-71.1042804
202 - BRONCHITIS & ASTHMA W CC/MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,14,8350.142857,8607,7929.642857,2012,42.2774915,-71.065494
202 - BRONCHITIS & ASTHMA W CC/MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,46,9386.543478,10819.13043,9773.782609,2012,42.334447,-71.0740118
202 - BRONCHITIS & ASTHMA W CC/MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,21,9751.380952,9380.904762,8504.714286,2012,42.3489582,-71.1476809
202 - BRONCHITIS & ASTHMA W CC/MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,30,40051.16667,9928.533333,8998.7,2012,42.3631542,-71.0688334
202 - BRONCHITIS & ASTHMA W CC/MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,27,14957.40741,9445.814815,8637.666667,2012,42.3396481,-71.1050255
202 - BRONCHITIS & ASTHMA W CC/MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,17,16019.76471,6612,5868.235294,2012,42.3306338,-71.2464373
202 - BRONCHITIS & ASTHMA W CC/MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,11,36257.27273,9074.181818,8235.636364,2012,42.3362036,-71.1067408
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,19,56535.05263,42131.47368,40881,2012,42.373977,-71.1334327
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,19,89824.52632,67096.89474,66309.73684,2012,42.334447,-71.0740118
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,25,230147.16,65423.76,61854.36,2012,42.3631542,-71.0688334
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,17,125465.7059,57969.76471,57362,2012,42.3396481,-71.1050255
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,18,241789.1111,64519.16667,63385.55556,2012,42.3362036,-71.1067408
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,12,145379.5,61731.75,53752.33333,2012,42.349512,-71.063308
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,17,36882.17647,20425.23529,19191.58824,2012,42.373977,-71.1334327
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,36,24321.13889,24069.58333,23447.41667,2012,42.3748024,-71.1042804
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,18,23341.94444,21261.72222,20557.94444,2012,42.2774915,-71.065494
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,47,36869.87234,28598.21277,27767.06383,2012,42.334447,-71.0740118
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,20,26586.25,24473.05,23625,2012,42.3489582,-71.1476809
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,74,92270.7027,24210.83784,23300.36486,2012,42.3631542,-71.0688334
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,56,42644.625,24222.71429,23139.78571,2012,42.3396481,-71.1050255
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,17,38798,17414.05882,16741.11765,2012,42.3306338,-71.2464373
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,53,85727.90566,23109.79245,21998.62264,2012,42.3362036,-71.1067408
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,16,62471,27204.625,26361.875,2012,42.349512,-71.063308
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,21,53123.14286,20953.04762,20350.95238,2012,42.3016411,-71.1287817
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,12,41522,27691.75,23843.75,2012,42.373977,-71.1334327
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,16,46679.1875,38587.875,37871.375,2012,42.334447,-71.0740118
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,13,50700.61538,32641.23077,31755.69231,2012,42.3489582,-71.1476809
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,135,114861.237,31849.04444,30861.62963,2012,42.3631542,-71.0688334
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,52,55384.55769,32256.73077,31436.5,2012,42.3396481,-71.1050255
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,11,54054.36364,24250.27273,23208.09091,2012,42.3306338,-71.2464373
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,97,108090.3093,30628.48454,29283.95876,2012,42.3362036,-71.1067408
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,32,68546.1875,36664.625,32421.8125,2012,42.349512,-71.063308
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,18,40497.72222,22692.66667,21987.55556,2012,42.373977,-71.1334327
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,24,24964.04167,31489.16667,29790.25,2012,42.334447,-71.0740118
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,13,65148.46154,28382.69231,27587.92308,2012,42.3489582,-71.1476809
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,76,67323.39474,26022.81579,25306,2012,42.3631542,-71.0688334
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,33,32805.36364,26916.0303,25271.42424,2012,42.3396481,-71.1050255
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,60,70308.13333,25495.21667,23962.83333,2012,42.3362036,-71.1067408
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,12,48594.25,25817.83333,23312.25,2012,42.349512,-71.063308
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,29,42960.75862,19906.2069,18958.62069,2012,42.3631542,-71.0688334
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,21,26155.61905,21164,20342.85714,2012,42.3396481,-71.1050255
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,28,54909.25,19868.25,19087.25,2012,42.3362036,-71.1067408
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,11,44670.63636,22822.81818,20378.18182,2012,42.349512,-71.063308
